sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,motorRight,motorLeft
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,0.270955,0.278835,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,0.233122,0.241018,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,0.197517,0.205410,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,0.159719,0.167615,1.000000,1.000000
1.000000,1.000000,1.000000,1.000000,0.124147,0.132039,1.000000,-1.000000
1.000000,1.000000,1.000000,1.000000,0.122037,0.147553,1.000000,-1.000000
1.000000,1.000000,0.185911,1.000000,0.133914,0.179435,1.000000,-1.000000
1.000000,1.000000,0.122799,1.000000,0.163662,0.236703,1.000000,-1.000000
1.000000,1.000000,0.100989,1.000000,0.208887,1.000000,1.000000,-1.000000
0.243984,1.000000,0.097168,1.000000,1.000000,1.000000,1.000000,-1.000000
0.192581,1.000000,0.100381,1.000000,1.000000,1.000000,1.000000,-1.000000
0.148857,1.000000,0.110507,1.000000,1.000000,1.000000,1.000000,-1.000000
0.119457,1.000000,0.133320,1.000000,1.000000,1.000000,1.000000,1.000000
0.120220,1.000000,0.137567,1.000000,1.000000,1.000000,1.000000,1.000000
0.122641,1.000000,0.140007,1.000000,1.000000,1.000000,1.000000,1.000000
0.125088,1.000000,0.142468,1.000000,1.000000,1.000000,1.000000,1.000000
0.127676,1.000000,0.145070,1.000000,1.000000,1.000000,1.000000,1.000000
0.130332,1.000000,0.147686,1.000000,1.000000,1.000000,1.000000,1.000000
0.189483,1.000000,0.200040,1.000000,1.000000,1.000000,-1.000000,1.000000
0.238654,1.000000,0.207523,1.000000,1.000000,1.000000,-1.000000,1.000000
0.278473,1.000000,0.194188,1.000000,1.000000,1.000000,1.000000,1.000000
0.270437,1.000000,0.182333,1.000000,1.000000,1.000000,1.000000,1.000000
0.258763,1.000000,0.170663,1.000000,1.000000,1.000000,1.000000,1.000000
0.246261,1.000000,0.158232,1.000000,1.000000,1.000000,1.000000,1.000000
0.233827,1.000000,0.145776,1.000000,1.000000,1.000000,1.000000,1.000000
0.222152,1.000000,0.134073,1.000000,1.000000,1.000000,1.000000,1.000000
0.210548,1.000000,0.122419,1.000000,1.000000,1.000000,1.000000,1.000000
0.198127,1.000000,0.109965,1.000000,1.000000,1.000000,1.000000,1.000000
0.186500,1.000000,0.098324,1.000000,1.000000,1.000000,1.000000,-1.000000
0.152968,1.000000,0.112357,1.000000,1.000000,1.000000,1.000000,-1.000000
0.126464,1.000000,0.137926,1.000000,1.000000,1.000000,1.000000,1.000000
0.127280,1.000000,0.142205,1.000000,1.000000,1.000000,1.000000,1.000000
0.129392,1.000000,0.144337,1.000000,1.000000,1.000000,1.000000,1.000000
0.131490,1.000000,0.146460,1.000000,1.000000,1.000000,1.000000,1.000000
0.133719,1.000000,0.148724,1.000000,1.000000,1.000000,1.000000,1.000000
0.135990,1.000000,0.151000,1.000000,1.000000,1.000000,1.000000,1.000000
0.138117,1.000000,0.153119,1.000000,1.000000,1.000000,1.000000,1.000000
0.140116,1.000000,0.155123,1.000000,1.000000,1.000000,1.000000,1.000000
0.142217,1.000000,0.157255,1.000000,1.000000,1.000000,1.000000,1.000000
0.144199,1.000000,0.159242,1.000000,1.000000,1.000000,1.000000,1.000000
0.146332,1.000000,0.161392,1.000000,1.000000,1.000000,1.000000,1.000000
0.148456,1.000000,0.163498,1.000000,1.000000,1.000000,1.000000,1.000000
0.150590,1.000000,0.165642,1.000000,1.000000,1.000000,1.000000,1.000000
0.152855,1.000000,0.167900,1.000000,1.000000,1.000000,1.000000,1.000000
0.154967,1.000000,0.170014,1.000000,1.000000,1.000000,1.000000,1.000000
0.157096,1.000000,0.172143,1.000000,1.000000,1.000000,1.000000,1.000000
0.159343,1.000000,0.174394,1.000000,1.000000,1.000000,1.000000,1.000000
0.161465,1.000000,0.176509,1.000000,1.000000,1.000000,1.000000,1.000000
0.163589,1.000000,0.178639,1.000000,1.000000,1.000000,1.000000,1.000000
0.165844,1.000000,0.180910,1.000000,1.000000,1.000000,1.000000,1.000000
0.168117,1.000000,0.183174,1.000000,1.000000,1.000000,1.000000,1.000000
0.170238,1.000000,0.185340,1.000000,0.286793,0.292188,1.000000,1.000000
0.172353,1.000000,0.187469,1.000000,0.251181,0.256582,1.000000,1.000000
0.174599,1.000000,0.189744,1.000000,0.213388,0.218799,1.000000,1.000000
0.176705,1.000000,0.191897,1.000000,0.177774,0.183202,1.000000,-1.000000
0.164698,1.000000,0.229214,1.000000,0.173759,0.196800,1.000000,-1.000000
0.158395,1.000000,0.278634,1.000000,0.182976,0.225914,1.000000,-1.000000
0.168235,1.000000,0.202241,1.000000,0.208522,0.275283,1.000000,-1.000000
0.190511,1.000000,0.155075,1.000000,0.252534,1.000000,1.000000,-1.000000
0.253750,1.000000,0.132433,1.000000,1.000000,1.000000,1.000000,-1.000000
0.225265,1.000000,0.127603,1.000000,1.000000,1.000000,1.000000,-1.000000
0.183443,1.000000,0.134634,1.000000,1.000000,1.000000,1.000000,-1.000000
0.152558,1.000000,0.150063,1.000000,1.000000,1.000000,1.000000,1.000000
0.149942,1.000000,0.154084,1.000000,1.000000,1.000000,1.000000,1.000000
0.150543,1.000000,0.154672,1.000000,1.000000,1.000000,1.000000,1.000000
0.151131,1.000000,0.155263,1.000000,1.000000,1.000000,1.000000,1.000000
0.151711,1.000000,0.155854,1.000000,1.000000,1.000000,1.000000,1.000000
0.152252,1.000000,0.156419,1.000000,1.000000,1.000000,1.000000,1.000000
